ID,Stagione,Giornata,Data,CASA,TRAS,GC,GT
19293015PROPRO,1929-30,15,19/03/1930,PRO PATRIA,PRO VERCELLI,1.0,0.0
19293015TORROM,1929-30,15,19/03/1930,TORINO,ROMA,1.0,0.0
19293016CREBRE,1929-30,16,02/02/1930,CREMONESE,BRESCIA,0.0,1.0
19293016JUVINT,1929-30,16,19/03/1930,JUVENTUS,INTER,1.0,2.0
19293016LIVGEN,1929-30,16,02/02/1930,LIVORNO,GENOA,3.0,1.0
19293016MILTOR,1929-30,16,02/02/1930,MILAN,TORINO,1.0,2.0
19293016MODALE,1929-30,16,02/02/1930,MODENA,ALESSANDRIA,0.0,1.0
19293016NAPPAD,1929-30,16,02/02/1930,NAPOLI,PADOVA,1.0,0.0
19293016PROLAZ,1929-30,16,02/02/1930,PRO VERCELLI,LAZIO,3.0,1.0
19293016ROMBOL,1929-30,16,02/02/1930,ROMA,BOLOGNA,2.0,2.0
19293016TRIPRO,1929-30,16,02/02/1930,TRIESTINA,PRO PATRIA,2.0,1.0
19293017ALECRE,1929-30,17,16/02/1930,ALESSANDRIA,CREMONESE,3.0,0.0
19293017BOLPRO,1929-30,17,16/02/1930,BOLOGNA,PRO VERCELLI,2.0,2.0
19293017BRELIV,1929-30,17,16/02/1930,BRESCIA,LIVORNO,2.0,0.0
19293017GENMIL,1929-30,17,16/02/1930,GENOA,MILAN,2.0,2.0
19293017INTMOD,1929-30,17,16/02/1930,INTER,MODENA,5.0,1.0
19293017LAZJUV,1929-30,17,16/02/1930,LAZIO,JUVENTUS,0.0,1.0
19293017NAPTRI,1929-30,17,16/02/1930,NAPOLI,TRIESTINA,4.0,1.0
19293017PADROM,1929-30,17,16/02/1930,PADOVA,ROMA,3.0,0.0
19293017TORPRO,1929-30,17,16/02/1930,TORINO,PRO PATRIA,7.0,0.0
19293018BOLLAZ,1929-30,18,23/02/1930,BOLOGNA,LAZIO,3.0,2.0
19293018BREMIL,1929-30,18,23/02/1930,BRESCIA,MILAN,4.0,1.0
19293018CREPRO,1929-30,18,23/02/1930,CREMONESE,PRO PATRIA,1.0,2.0
19293018GENPRO,1929-30,18,23/02/1930,GENOA,PRO VERCELLI,1.0,0.0
19293018INTLIV,1929-30,18,23/02/1930,INTER,LIVORNO,6.0,2.0
19293018MODPAD,1929-30,18,23/02/1930,MODENA,PADOVA,0.0,2.0
19293018NAPJUV,1929-30,18,23/02/1930,NAPOLI,JUVENTUS,2.0,2.0
19293018ROMALE,1929-30,18,23/02/1930,ROMA,ALESSANDRIA,1.0,1.0
19293018TORTRI,1929-30,18,23/02/1930,TORINO,TRIESTINA,4.0,1.0
19293019BRENAP,1929-30,19,09/03/1930,BRESCIA,NAPOLI,2.0,1.0
19293019CREROM,1929-30,19,09/03/1930,CREMONESE,ROMA,1.0,0.0
19293019INTPRO,1929-30,19,09/03/1930,INTER,PRO VERCELLI,4.0,0.0
19293019JUVLIV,1929-30,19,09/03/1930,JUVENTUS,LIVORNO,4.0,1.0
19293019LAZGEN,1929-30,19,09/03/1930,LAZIO,GENOA,3.0,0.0
19293019MODMIL,1929-30,19,09/03/1930,MODENA,MILAN,1.0,1.0
19293019PADTOR,1929-30,19,09/03/1930,PADOVA,TORINO,1.0,0.0
19293019PROALE,1929-30,19,09/03/1930,PRO PATRIA,ALESSANDRIA,4.0,0.0
19293019TRIBOL,1929-30,19,09/03/1930,TRIESTINA,BOLOGNA,0.0,1.0
19293020ALELAZ,1929-30,20,16/03/1930,ALESSANDRIA,LAZIO,4.0,2.0
19293020BOLINT,1929-30,20,16/03/1930,BOLOGNA,INTER,2.0,2.0
19293020GENPRO,1929-30,20,16/03/1930,GENOA,PRO PATRIA,6.0,2.0
19293020JUVCRE,1929-30,20,16/03/1930,JUVENTUS,CREMONESE,4.0,1.0
19293020LIVTOR,1929-30,20,16/03/1930,LIVORNO,TORINO,1.0,0.0
19293020MILNAP,1929-30,20,16/03/1930,MILAN,NAPOLI,2.0,2.0
19293020PADBRE,1929-30,20,16/03/1930,PADOVA,BRESCIA,2.0,1.0
19293020PROMOD,1929-30,20,16/03/1930,PRO VERCELLI,MODENA,2.0,1.0
19293020ROMTRI,1929-30,20,16/03/1930,ROMA,TRIESTINA,5.0,0.0
19293021ALEPAD,1929-30,21,23/03/1930,ALESSANDRIA,PADOVA,4.0,2.0
19293021BREPRO,1929-30,21,23/03/1930,BRESCIA,PRO VERCELLI,1.0,0.0
19293021INTLAZ,1929-30,21,23/03/1930,INTER,LAZIO,4.0,2.0
19293021MODLIV,1929-30,21,23/03/1930,MODENA,LIVORNO,6.0,0.0
