Squadra;Anno;Scudetti
NAPOLI;1994;2
SAMPDORIA;1994;1
GENOA;1995;9
MILAN;1995;14
JUVENTUS;1995;23
PRO VERCELLI;1995;7
CASALE;1995;1
INTER;1995;13
BOLOGNA;1995;7
TORINO;1995;7
ROMA;1995;2
FIORENTINA;1995;2
CAGLIARI;1995;1
LAZIO;1995;1
VERONA;1995;1
NAPOLI;1995;2
SAMPDORIA;1995;1
GENOA;1996;9
MILAN;1996;15
JUVENTUS;1996;23
PRO VERCELLI;1996;7
CASALE;1996;1
INTER;1996;13
BOLOGNA;1996;7
TORINO;1996;7
ROMA;1996;2
FIORENTINA;1996;2
CAGLIARI;1996;1
LAZIO;1996;1
VERONA;1996;1
NAPOLI;1996;2
SAMPDORIA;1996;1
GENOA;1997;9
MILAN;1997;15
JUVENTUS;1997;24
PRO VERCELLI;1997;7
CASALE;1997;1
INTER;1997;13
BOLOGNA;1997;7
TORINO;1997;7
ROMA;1997;2
FIORENTINA;1997;2
CAGLIARI;1997;1
LAZIO;1997;1
VERONA;1997;1
NAPOLI;1997;2
SAMPDORIA;1997;1
GENOA;1998;9
MILAN;1998;15
JUVENTUS;1998;25
PRO VERCELLI;1998;7
CASALE;1998;1
INTER;1998;13
BOLOGNA;1998;7
TORINO;1998;7
ROMA;1998;2
FIORENTINA;1998;2
CAGLIARI;1998;1
LAZIO;1998;1
VERONA;1998;1
NAPOLI;1998;2
SAMPDORIA;1998;1
GENOA;1999;9
MILAN;1999;16
JUVENTUS;1999;25
PRO VERCELLI;1999;7
CASALE;1999;1
INTER;1999;13
BOLOGNA;1999;7
TORINO;1999;7
ROMA;1999;2
FIORENTINA;1999;2
CAGLIARI;1999;1
LAZIO;1999;1
VERONA;1999;1
NAPOLI;1999;2
SAMPDORIA;1999;1
GENOA;2000;9
MILAN;2000;16
JUVENTUS;2000;25
PRO VERCELLI;2000;7
CASALE;2000;1
INTER;2000;13
BOLOGNA;2000;7
TORINO;2000;7
ROMA;2000;2
FIORENTINA;2000;2
CAGLIARI;2000;1
LAZIO;2000;2
VERONA;2000;1
NAPOLI;2000;2
SAMPDORIA;2000;1
GENOA;2001;9
MILAN;2001;16
JUVENTUS;2001;25
PRO VERCELLI;2001;7
CASALE;2001;1
INTER;2001;13
BOLOGNA;2001;7
TORINO;2001;7
ROMA;2001;3
FIORENTINA;2001;2
CAGLIARI;2001;1
LAZIO;2001;2
VERONA;2001;1
NAPOLI;2001;2
SAMPDORIA;2001;1
GENOA;2002;9
MILAN;2002;16
JUVENTUS;2002;26
PRO VERCELLI;2002;7
CASALE;2002;1
INTER;2002;13
BOLOGNA;2002;7
TORINO;2002;7
ROMA;2002;3
FIORENTINA;2002;2
CAGLIARI;2002;1
LAZIO;2002;2
VERONA;2002;1
NAPOLI;2002;2
SAMPDORIA;2002;1
GENOA;2003;9
MILAN;2003;16
JUVENTUS;2003;27
PRO VERCELLI;2003;7
CASALE;2003;1
INTER;2003;13
BOLOGNA;2003;7
TORINO;2003;7
ROMA;2003;3
FIORENTINA;2003;2
CAGLIARI;2003;1
LAZIO;2003;2
VERONA;2003;1
NAPOLI;2003;2
SAMPDORIA;2003;1
GENOA;2004;9
MILAN;2004;17
JUVENTUS;2004;27
PRO VERCELLI;2004;7
CASALE;2004;1
INTER;2004;13
BOLOGNA;2004;7
TORINO;2004;7
ROMA;2004;3
FIORENTINA;2004;2
CAGLIARI;2004;1
LAZIO;2004;2
VERONA;2004;1
NAPOLI;2004;2
SAMPDORIA;2004;1
GENOA;2006;9
MILAN;2006;17
JUVENTUS;2006;27
PRO VERCELLI;2006;7
CASALE;2006;1
INTER;2006;14
BOLOGNA;2006;7
TORINO;2006;7
ROMA;2006;3
FIORENTINA;2006;2
CAGLIARI;2006;1
LAZIO;2006;2
VERONA;2006;1
NAPOLI;2006;2
SAMPDORIA;2006;1
GENOA;2007;9
MILAN;2007;17
JUVENTUS;2007;27
PRO VERCELLI;2007;7
CASALE;2007;1
INTER;2007;15
BOLOGNA;2007;7
TORINO;2007;7
ROMA;2007;3
FIORENTINA;2007;2
CAGLIARI;2007;1
LAZIO;2007;2
VERONA;2007;1
NAPOLI;2007;2
SAMPDORIA;2007;1
GENOA;2008;9
MILAN;2008;17
JUVENTUS;2008;27
PRO VERCELLI;2008;7
CASALE;2008;1
INTER;2008;16
BOLOGNA;2008;7
TORINO;2008;7
ROMA;2008;3
FIORENTINA;2008;2
CAGLIARI;2008;1
LAZIO;2008;2
VERONA;2008;1
NAPOLI;2008;2
SAMPDORIA;2008;1
GENOA;2009;9
MILAN;2009;17
JUVENTUS;2009;27
PRO VERCELLI;2009;7
CASALE;2009;1
INTER;2009;17
BOLOGNA;2009;7
TORINO;2009;7
ROMA;2009;3
FIORENTINA;2009;2
CAGLIARI;2009;1
LAZIO;2009;2
VERONA;2009;1
NAPOLI;2009;2
SAMPDORIA;2009;1
GENOA;2010;9
MILAN;2010;17
JUVENTUS;2010;27
PRO VERCELLI;2010;7
CASALE;2010;1
INTER;2010;18
BOLOGNA;2010;7
TORINO;2010;7
ROMA;2010;3
FIORENTINA;2010;2
CAGLIARI;2010;1
LAZIO;2010;2
VERONA;2010;1
NAPOLI;2010;2
SAMPDORIA;2010;1
GENOA;2011;9
MILAN;2011;18
JUVENTUS;2011;27
PRO VERCELLI;2011;7
CASALE;2011;1
INTER;2011;18
BOLOGNA;2011;7
TORINO;2011;7
ROMA;2011;3
FIORENTINA;2011;2
CAGLIARI;2011;1
LAZIO;2011;2
VERONA;2011;1
NAPOLI;2011;2
SAMPDORIA;2011;1
GENOA;2012;9
MILAN;2012;18
JUVENTUS;2012;28
PRO VERCELLI;2012;7
CASALE;2012;1
INTER;2012;18
BOLOGNA;2012;7
TORINO;2012;7
ROMA;2012;3
FIORENTINA;2012;2
CAGLIARI;2012;1
LAZIO;2012;2
VERONA;2012;1
NAPOLI;2012;2
SAMPDORIA;2012;1
GENOA;2013;9
MILAN;2013;18
JUVENTUS;2013;29
PRO VERCELLI;2013;7
CASALE;2013;1
INTER;2013;18
BOLOGNA;2013;7
TORINO;2013;7
ROMA;2013;3
FIORENTINA;2013;2
CAGLIARI;2013;1
LAZIO;2013;2
VERONA;2013;1
NAPOLI;2013;2
SAMPDORIA;2013;1
GENOA;2014;9
MILAN;2014;18
JUVENTUS;2014;30
PRO VERCELLI;2014;7
CASALE;2014;1
INTER;2014;18
BOLOGNA;2014;7
TORINO;2014;7
ROMA;2014;3
FIORENTINA;2014;2
CAGLIARI;2014;1
LAZIO;2014;2
VERONA;2014;1
NAPOLI;2014;2
SAMPDORIA;2014;1
GENOA;2015;9
MILAN;2015;18
JUVENTUS;2015;31
PRO VERCELLI;2015;7
CASALE;2015;1
INTER;2015;18
BOLOGNA;2015;7
TORINO;2015;7
ROMA;2015;3
FIORENTINA;2015;2
CAGLIARI;2015;1
LAZIO;2015;2
VERONA;2015;1
NAPOLI;2015;2
SAMPDORIA;2015;1
GENOA;2016;9
MILAN;2016;18
JUVENTUS;2016;32
PRO VERCELLI;2016;7
CASALE;2016;1
INTER;2016;18
BOLOGNA;2016;7
TORINO;2016;7
ROMA;2016;3
FIORENTINA;2016;2
CAGLIARI;2016;1
LAZIO;2016;2
VERONA;2016;1
NAPOLI;2016;2
SAMPDORIA;2016;1
GENOA;2017;9
MILAN;2017;18
JUVENTUS;2017;33
PRO VERCELLI;2017;7
CASALE;2017;1
INTER;2017;18
BOLOGNA;2017;7
TORINO;2017;7
ROMA;2017;3
FIORENTINA;2017;2
CAGLIARI;2017;1
LAZIO;2017;2
VERONA;2017;1
NAPOLI;2017;2
SAMPDORIA;2017;1
GENOA;2018;9
MILAN;2018;18
JUVENTUS;2018;34
PRO VERCELLI;2018;7
CASALE;2018;1
INTER;2018;18
BOLOGNA;2018;7
TORINO;2018;7
ROMA;2018;3
FIORENTINA;2018;2
CAGLIARI;2018;1
LAZIO;2018;2
VERONA;2018;1
NAPOLI;2018;2
SAMPDORIA;2018;1
GENOA;2019;9
MILAN;2019;18
JUVENTUS;2019;35
PRO VERCELLI;2019;7
CASALE;2019;1
INTER;2019;18
BOLOGNA;2019;7
TORINO;2019;7
ROMA;2019;3
FIORENTINA;2019;2
CAGLIARI;2019;1
LAZIO;2019;2
VERONA;2019;1
NAPOLI;2019;2
SAMPDORIA;2019;1
GENOA;2020;9
MILAN;2020;18
JUVENTUS;2020;36
PRO VERCELLI;2020;7
CASALE;2020;1
INTER;2020;18
BOLOGNA;2020;7
TORINO;2020;7
ROMA;2020;3
FIORENTINA;2020;2
CAGLIARI;2020;1
LAZIO;2020;2
VERONA;2020;1
NAPOLI;2020;2
SAMPDORIA;2020;1
GENOA;2021;9
MILAN;2021;18
JUVENTUS;2021;36
PRO VERCELLI;2021;7
CASALE;2021;1
INTER;2021;19
BOLOGNA;2021;7
TORINO;2021;7
ROMA;2021;3
FIORENTINA;2021;2
CAGLIARI;2021;1
LAZIO;2021;2
VERONA;2021;1
NAPOLI;2021;2
SAMPDORIA;2021;1
GENOA;2022;9
MILAN;2022;19
JUVENTUS;2022;36
PRO VERCELLI;2022;7
CASALE;2022;1
INTER;2022;19
BOLOGNA;2022;7
TORINO;2022;7
ROMA;2022;3
FIORENTINA;2022;2
CAGLIARI;2022;1
LAZIO;2022;2
VERONA;2022;1
NAPOLI;2022;2
SAMPDORIA;2022;1
GENOA;2023;9
MILAN;2023;19
JUVENTUS;2023;36
PRO VERCELLI;2023;7
CASALE;2023;1
INTER;2023;19
BOLOGNA;2023;7
TORINO;2023;7
ROMA;2023;3
FIORENTINA;2023;2
CAGLIARI;2023;1
LAZIO;2023;2
VERONA;2023;1
NAPOLI;2023;3
SAMPDORIA;2023;1
GENOA;2024;9
MILAN;2024;19
JUVENTUS;2024;36
PRO VERCELLI;2024;7
CASALE;2024;1
INTER;2024;20
BOLOGNA;2024;7
TORINO;2024;7
ROMA;2024;3
FIORENTINA;2024;2
CAGLIARI;2024;1
LAZIO;2024;2
VERONA;2024;1
NAPOLI;2024;3
SAMPDORIA;2024;1
GENOA;2025;9
MILAN;2025;19
JUVENTUS;2025;36
PRO VERCELLI;2025;7
CASALE;2025;1
INTER;2025;20
BOLOGNA;2025;7
TORINO;2025;7
ROMA;2025;3
FIORENTINA;2025;2
CAGLIARI;2025;1
LAZIO;2025;2
VERONA;2025;1
NAPOLI;2025;4
SAMPDORIA;2025;1
