Stagione;Vincitore;url_Stemma
1940-41;BOLOGNA;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/BOLOGNA/1943.png?raw=true
1939-40;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/1945.png?raw=true
1938-39;BOLOGNA;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/BOLOGNA/1943.png?raw=true
1937-38;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/1945.png?raw=true
1936-37;BOLOGNA;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/BOLOGNA/1943.png?raw=true
1935-36;BOLOGNA;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/BOLOGNA/1943.png?raw=true
1934-35;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/1939.png?raw=true
1933-34;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/1939.png?raw=true
1932-33;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/1939.png?raw=true
1931-32;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/1939.png?raw=true
1930-31;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/1930.png?raw=true
1929-30;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/1930.png?raw=true
